REF_AREA_LABEL,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Prevalence of undernourishment (% of population),"Life expectancy at birth, total (years)","School enrollment, secondary (% gross)",Proportion of seats held by women in national parliaments (%),People using at least basic drinking water services (% of population),Access to electricity (% of population),GDP per capita (constant 2015 US$),Individuals using the Internet (% of population),Gini index,Urban population (% of total population),Combustible renewables and waste (% of total energy),Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),Terrestrial and marine protected areas (% of total territorial area),Forest area (% of land area),Control of Corruption: Estimate,"Personal remittances, received (% of GDP)"
Djibouti,19.496000000000002,12.239999999999998,64.4112,67.37048831280192,26.1538461538462,76.05133655344426,64.4,2809.2923505689114,60.04,42.586,78.0702,36.484017112654385,0.74038,1.2,0.25002329594478,-0.7949586749076845,2.1186235811766236
Dominica,2.6310000000000002,12.559999999999999,70.973,87.69501304626465,30.625,85.75867640336062,99.9,8103.573165276459,78.775,41.398,71.0908,23.409170505701745,0.07574,0.62,63.82666666666667,0.540252733230591,6.730014957289072
Dominican Republic,1.1400000000000001,5.74,73.05420000000001,78.86987609863283,27.47368421052634,96.37400667225631,98.82000000000001,8074.933354914012,80.56,40.14,82.50059999999999,9.174160069318495,28.07122,19.1,44.464762639966395,-0.6902178287506104,9.467190785148553
Ecuador,5.480000000000001,13.040000000000001,75.1722,95.08668212890628,38.686131386861305,95.28291953688293,99.34,5862.552813536836,65.24,45.94,64.1808,3.4250545928074247,40.01204,16.080000000000002,50.32142857142857,-0.5735481381416323,3.4985135943682364
"Egypt, Arab Rep.",1.7,7.3,70.3926,82.47810173034667,22.51200285557934,98.76424783260151,100.0,3781.5713307757774,64.08,30.2,42.8092,3.5524321019561333,243.34487999999996,11.6,0.0451855944547692,-0.6730758070945739,7.838196660016129
El Salvador,4.35,6.859999999999999,71.0526,66.27573852539061,30.00000000000002,98.00413925594263,98.4,4120.2635170763915,55.239999999999995,38.8,73.4196,11.31108943567342,7.4612799999999995,2.1399999999999997,28.179536679536675,-0.5796341776847838,23.28886315802287
Equatorial Guinea,8.8,8.876000000000001,62.431,93.99785980224608,23.2,97.5141511869236,66.72,5836.890278439279,55.525000000000006,38.5,73.0882,5.17619841187688,4.445220000000001,1.8,87.28770053475937,-1.56723566055298,0.0
Eritrea,29.889999999999997,19.92,67.19879999999999,42.16160659366516,22.0,65.13366159956539,51.339999999999996,977.5744014406907,13.580000000000002,36.07000000000001,41.3498,78.46566451986273,0.67598,1.8,8.717107211739856,-1.32212550640106,2.8881503428101754
Estonia,0.45999999999999996,2.5,78.05463414634148,112.62747192382801,27.326732673267298,99.99008871234184,100.0,20574.64309656192,90.24000000000001,31.179999999999996,69.23679999999999,25.065736059163022,14.68902,19.94,57.043935933913886,1.5251786231994637,1.5860710733052885
Eswatini,3.01,12.02,59.935,86.2984539412549,9.436869865696545,71.44076913773313,79.24,3651.3070203551533,48.760000000000005,32.65500000000001,24.179199999999998,62.020982375724806,1.20746,4.28,28.927906976744186,-0.45465793609619143,2.6875274614905735
Ethiopia,38.6,21.5,65.83879999999999,45.41739322577649,40.06963274477012,48.660601919766336,50.7,794.8338756012587,16.175,31.1,21.7036,87.43178161710044,17.397640000000003,17.060000000000002,15.124016101992083,-0.43695396184921265,0.4395949609477673
Fiji,4.7,6.539999999999999,66.59,91.44794167332343,20.0,95.41840747352839,94.47999999999999,5200.689510375193,68.53999999999999,30.7,57.2428,18.351534937494023,1.9729400000000001,1.0,62.3984674329502,0.5667368054389956,7.19843799310334
Finland,0.04,2.5,81.74439024390244,145.9202697753906,45.3,99.9999995520405,100.0,45546.99730774808,91.3,27.54,85.5244,31.42278843081756,41.326080000000005,13.3,73.72907585985614,2.188167476654052,0.26136692406854384
France,0.08,2.5,82.42634146341464,104.23917694091801,39.112507221259406,99.99999949559454,100.0,37877.78714253458,84.28,31.4,80.9758,7.819254119582706,313.7179,35.480000000000004,31.509048373046095,1.23872125148773,1.1009139195361424
Gabon,3.832,19.26,67.24759999999999,69.28899414746175,16.0702446596918,86.29841239126603,91.26,6616.595137767338,63.620000000000005,39.85333333333334,90.0722,75.64074762890607,5.307779999999999,25.1,91.32068149183064,-0.9088152170181274,0.10486991930237885
"Gambia, The",22.0,17.4,64.317,101.391246171605,9.310344827586206,84.48154381633302,62.74000000000001,682.3728676064538,35.040000000000006,38.8,62.5714,48.869180768047826,0.57708,2.3,23.979138339920947,-0.3980851948261262,20.16032730636365
Georgia,10.24,5.0600000000000005,73.487,108.0336425781248,17.962543943751978,94.62199739173954,99.97999999999999,5052.115486245547,71.82,34.9,59.458600000000004,4.615392540549761,11.876339999999999,7.3,40.61591595913081,0.6648708939552306,13.358098253273877
Germany,0.13333333333333333,2.5,80.92502439024392,101.06369934082039,32.528745324093954,99.999999621176,100.0,43704.69870516892,89.58,32.03333333333333,77.4666,11.083478986645895,684.81614,38.660000000000004,32.683423910570085,1.8380263566970818,0.4675819104683857
Ghana,16.28666666666667,6.5600000000000005,64.48679999999999,72.74642333984376,13.59999999999998,86.29760515723459,84.14000000000001,1996.4917386603024,53.11999999999999,32.2,57.3432,34.808931372430465,22.2562,7.74,35.09680307099148,-0.11333243101835241,4.503144108957224
Greece,0.72,2.5,81.11707317073173,105.00602874755842,20.73333333333336,99.99999879709165,100.0,19060.225970022413,77.53999999999999,33.18,79.7112,5.769385192539495,57.940999999999995,11.0,30.2699767261443,0.04201006442308428,0.293052000774093
Grenada,0.8,9.928,74.924,90.18518585120371,43.58333333333336,86.6064635516698,93.32000000000001,9226.133762911099,67.6,43.8,36.553399999999996,29.387761385559344,0.1346,0.2,52.05882352941177,0.40902632474899275,5.347143695029142
Guatemala,2.1919999999999997,13.52,70.434,50.61211013793944,18.03164556962026,93.8772332341829,96.64000000000001,4167.790033257268,47.92,34.262,51.848,58.7514276905973,19.25938,10.1,32.92086599477417,-1.054849457740783,15.64173317079992
Guinea,11.7,10.979999999999999,59.5154,37.25038471960647,22.75828460038985,68.93394862116766,45.279999999999994,946.609968508973,23.360000000000003,29.6,36.8894,55.741553726776445,3.55516,25.339999999999996,25.18720494872212,-0.9881031990051282,1.2478090090235743
Guinea-Bissau,38.5,31.0,62.0828,51.57563367357811,13.7254901960784,61.514543966734436,33.18,715.7656693046822,21.02,34.099999999999994,44.1982,52.83589171580318,0.33111999999999997,12.599999999999998,70.41287339971551,-1.385212087631224,9.891058833625126
Guyana,0.8699999999999999,2.68,67.9716,85.37932205200195,34.11626055104316,95.25094479675627,92.14000000000001,9889.49552942015,63.4,37.435,26.8,24.170579641741828,3.0592,5.22,93.55010861061722,-0.20974567532539382,6.585814484198545
Haiti,39.660000000000004,45.78,63.7478,58.54714179761353,2.54237288135593,66.67918036075568,46.52,1342.582486124784,35.9,43.480000000000004,57.0684,75.94055814571152,3.48308,2.2,12.601596516690856,-1.376095342636108,18.99146034863223
Honduras,19.3,16.46,71.4392,57.41306686401367,23.59375,95.00894877422208,92.85999999999999,2394.63468285958,45.8,48.55,58.3534,34.88437856740427,9.636379999999999,10.959999999999999,56.83492716060416,-0.9229122400283817,23.616406633591325
Hungary,0.74,2.5,75.54780487804878,102.18158111572282,12.86432160804022,99.99999958288464,100.0,15356.661925507195,83.8,29.74,71.94680000000001,10.375667951959542,49.70834000000001,22.6,22.496286653517423,0.012724728882312719,2.4889976595584953
Iceland,0.3,2.5,82.87463414634148,112.98335266113281,41.9047619047619,99.99999969209537,100.0,56006.018330497514,99.5,26.6,93.90040000000002,0.3837526520474721,3.1988999999999996,2.74,0.5092531984528414,1.694145035743712,0.7183998927804712
